;precision;recall;f1-score;support
AccordoSindacale;1.0;0.8;0.8888888888888888;5.0
Decreto;1.0;0.6;0.75;5.0
DeliberaConsiglio;1.0;1.0;1.0;5.0
DeliberaGiunta;0.8333333333333334;1.0;0.9090909090909091;5.0
Determina;0.8333333333333334;1.0;0.9090909090909091;5.0
Ordinanza;0.8;0.8;0.8;5.0
Regolamento;0.7142857142857143;1.0;0.8333333333333334;5.0
Statuto;1.0;0.8;0.8888888888888888;5.0
accuracy;0.875;0.875;0.875;0.875
macro avg;0.8976190476190476;0.875;0.8724116161616162;40.0
weighted avg;0.8976190476190478;0.875;0.8724116161616161;40.0
